Name,UserName,Desc
Suzanne Goldstein,CSLNetPolicy,
BayAreaWritingProjec,BAWP1,Bay Area Writing Project - UC Berkeley Graduate School of Education
First5LA Best Start,F5LABestStart,Bringing out the best in our children by bringing out the best in our communities. https://t.co/3nq683jJHr
Alicia Olivarez,aliciaolivarez,"Masters in Public Policy Candidate, 2015 @Kennedy_School | former non-profiteer @urbanstratoak  | @UCBerkeley alum | #CA #govt #equity #Latina"
First 5 LA,First5LA,"Helping Los Angeles County from the prenatal stage to age 5, and their families, grow up healthy, safe and ready to learn."
Andy Flaherty,ConceptEnglish,"Helping teachers transform lives through language at Concept Schools (http://t.co/9KSxJWZaOL). Director of English, poet, and photographer."
New America Media,NewAmericaMedia,"New America Media, a news service based in San Francisco, organizes the country's first and largest network of more than 3,000 ethnic news organizations."
KohlChildrensMuseum,kohlchildrensmu,Kohl Children's Museum has 17 hands-on interactive exhibits designed to promote learning through play for ages birth to 8.
Jason Mestinsek,jasonmestinsek,I'm a vice-principal at Charles Spencer High School here in Grande Prairie AB. Profile at http://t.co/pnsZFDfr8o
MorganHillHousing,MorganHillHous,Housing and Economic Development News for Morgan Hill and the surrounding communities!
Phil Harris,MrPhil_va,Family Engagement Liaison working with families for the past 8 years on connecting schools with parents to support student learning.
AHC Inc.,AHCInc,"Nonprofit developer of affordable housing, homeownership services, and onsite educational services to improve the quality of residents' lives."
Hillery Dixon,HilleryDixon,
Joshua Cardenas,J__Cardenas,"ARHS' 15, Member of @SFYouthCom- proudly representing District 11 (OMI, Cayuga Terrace, Crocker Amazon, Excelsior, New Mission Terrace)! Opinions are my own."
nitasha sawhney,NitashaKS,"Employment and Education Lawyer, Civil Rights Advocate, CA APIA Commissioner, Food lover, Music lover and Wanna-be DJ. Blogging at http://t.co/q5NBeRFUSS"
Mary Hernandez,mhernandez4152,
Erik Burmeister,mrbprincipal,Hillview MS Principal. Former Union MS Principal. Speaker. Writer. Youth Advocate. Design Thinker. RtI2 Leader. ACSA & NASSP Principal of the Year
Kathrine Shone,2KatSho,"Educational Leader, Equity Advocate, Doctoral Candidate, Avid Golfer. Passionate about Life, Love, Learning, and Leadership"
Greg Fenner,gregfenner,"Unrelenting optimist, Failer, Learner, and STEAM teacher"
Ryan Whetstone,ryanwhetstone,
Jennifer Johnson,jjohnson454,Principal at 454 Marketing. Ed reform enthusiast. Mom of 3.  Lucky wife.  Epicurean wanna-be. Tomato grower. Native Nebraskan.
Barbara Nelson,ban94402,
YA of Massachusetts,YAofMA,The mission of Young Audiences is to initiate life-long involvement in the arts by making them integral to every child's education.
Savino Longo,SavinoEdu,
USD: SOLES,usdsoles,School of Leadership and Education Sciences at the University of San Diego.
OCCRL,occrl,"From the University of Illinois at Urbana/Champaign - dedicated to community college research.
RTs/follows do not imply endorsement/agreement."
summerlearning,summerlearning,"The vision of the National Summer Learning Association is for every child to be safe, healthy, and engaged in learning during the summer."
Jesber Andersen,JR_Andersen,
Teaching & Learning ,TeachLearnConf,"Teaching & Learning 2015 | Where the Profession Meets to Secure the Future of PreK-12 Education |
March 13-14, 2015  -- Washington, D.C."
Alma,AlmaERico,"@MIT Engineer turned education enthusiast, @YEP_BayArea co-founder, MBA @BerkeleyHaas, @EdPioneers alum, rescue dog parent, proud El Pasoan"
Be Who You Are,BWYAProject,Indiegogo campaign underway! Get a FREE SONG http://t.co/bVrUiHDfFh Facebook! https://t.co/ESWO1F4iR8
Donna Smith,dsmithsaugususd,Elementary Education Administrator / Adjunct Faculty USC
Morgan McPhearson,morganmcp,"CSU Graduate Student in the Early Childhood Intervention Specialist program, Bama fan, Avid Reader, Coffee and Tea Lover, DG Alumna"
Tong Thao,tongist,"Sac-town, CA. Brother, friend, activist. Sac State University"
High School Equity,HSequity,"Campaign for High School Equity: Advancing Quality, Expanding Opportunity. Ensuring that every student is prepared for graduation, college, work, and life."
❁ Sara ❁,earthysara,My version of radical environmentalism = living within our means & leaving enough for tomorrow.
CANetworkR&R,CANetworkRR,"Inspire, inform, and advocate for a quality child care system that supports all families in California."
Charles Stone,CStoneBmont,"Father, husband, litigation attorney, former education foundation board member, and current Belmont City Council Member."
Alexandra Sollberger,AlexSollberger,VP @podestagroup | former @edworkforce and @smallbizgop communications director
Debi Keane,debi1155,Leader in special education innovation
Ryan Strole,ryanstrole,"Husband of Liz, student of life, teacher at Valley Oak HS, giver of hugs and high-fives."
James Wyant,jameswyant,Teacher. Physical Educator. Techie. Thinker. Sports Enthusiast. WVU Grad. Montani Semper Liberi.
Bob Lenz,envisionschools,Co-founder & Chief of Innovation at Envision Education. Transforming Learning and Transforming Lives with Envision Schools and Envision Learning Partners.
Educoin,Educoin_Crypto,"EduCoin is a digital currency for education denominated in bits, not debts. Visit our site and find out how we re-imagined bitcoin technology for school."
Karen Pace,kcpace,Education is the most powerful weapon we can use to change the world. ~Nelson Mandela
TEAM Up,MediaTEAMUp,TEAM Up provides resources to encourage deeper reporting and more accurate depictions of people living with mental health issues.
TEACHorg,TEACHorg,THE GOOD JOB.  The world is changing.  Shape it.  Pursue your passions and make a difference.  TEACH.
SEDL,SEDLtweets,"SEDL is a private, nonprofit education research, development, and dissemination corporation. Tweets/retweets/follows ≠ endorsements."
Laura Shankland,laushank,"Project manager, nonprofit communications professional, and sometimes swimmer. Passionate about improving education."
Miguel A. Gonzalez,Onemigzy,"NEA flack. I write, tweet, spin. Father, amateur photog, wine drinker, coffee addict. Se habla español. Tweets are mine and only mine. AU and WSU Shocker Alum"
Nat Vaughn,nat_vaughn,"Principal of T.A. Blake Middle School in Medfield, MA"
Kristi Buchholz,kristi_buchholz,
Maureen Kelleher,KelleherMaureen,Education writer. Mom. Hell-raiser. RTs not endorsements.
FrankPanchoRodriguez,plasticsink268,
Brandon L. Greene ,brandonlgreene,Rebel.Thinker.Writer.Artist.Activist.Lawyer.Trouble Maker.MommasBoy.ProductOfMyEnvironmentInvadingYours.Tweets independent of any org I am affiliated with.
Prema Trettin,ptrettin42,i used to call myself an illegibility specialist.  i probably still should.
Grantgeek,sarahfbaron,"Grant Writer, cross country skier, hiker, aspiring runner, CSUF Doctoral Student, married to an outdoor enthusiast geologist"
Amy Lauren Smith,teaching_health,"Educator and blogger at http://t.co/EKkTkVn7aH and @choices_mag. Passionate about health curriculum that is current, relevant, adaptable, and shared."
Cathy Morrison,cathymbc,"I live and work in Sacramento with interests in education, writing and local issues."
paul wilner,downinmonterey,
Richmond Art Center,RichmondArtCtr,Largest visual arts center in the East Bay w/ hands-on classes for adults & kids and contemporary exhibitions of emerging & established Bay Area artists.
Megan Cox,Luci816,
Nate Collins,tncollins97,High School Principal. Builder. Reflective leader. Curious.  Family man. Interested in lots of stuff. Opinions are mine.
Bakakimpa Charles,bakharles,"Special interest in Secondary School Education, teaching and learning. http://t.co/YYh4jt02o1"
Gisela Suarez,giselasuarez,"Maestra de inglés, amante de los viajes, el cine, la música y pilates, chiva de corazón..."
angela rider,aartess,
kjbender,kjbender,"Breaking News Staffer, The Associated Press, SF, CA"
Ethan Hutt,ehutt1,"Assistant Prof in @UMDcollegeofed; study education history, reform, law; consume sports, pop culture, good prose (Opinions good, bad, otherwise are my own)."
PearsonNorthAmerica,PearsonNorthAm,"Pearson is the world’s leading education company, providing educational materials, technology, assessments and services to teachers and students of all ages."
Grubtrotters,grubtrotters,
CRichardson,CRichardson2,
Karen Rockhold,KarenRockhold1,Special Educator. Administrator. Policy wonk. Facilitator. Leader. Collaborator. PLN advocate. Working in Michigan. This is my personal account.
Suzette Lovely,SuptLovely,"Superintendent of Carlsbad Unified School District, Carlsbad CA"
State Policy Network,StatePolicy,SPN is made up of free market think tanks fighting to limit government and advance market-friendly public policy at the state and local levels.
OKSchoolChoice,OkSchoolChoice,
Aija Simmons,Ms_Aija,"Oakland Unified School District Teacher, Mills Teacher Scholars Program Asst, BAWP TC, Teaching is uncertain work & teacher voices must be heard!"
Jonathan Blitt,AdultEdExpert,lifelong skier and outdoorsman who believes mastering the English language is the number one key to success.
Nichole Dobo,nicholedobo,Education reporter on a fellowship @HechingerReport covering #blendedlearning. Also: hiker and amateur geologist. Follow my work: http://t.co/1xgstWvzFe
Valerie Pitts,DrValeriePitts,"Superintendent of Schools, Learner, Child Advocate, Embracing Diversity, Inclusion and a Global Learning Environment"
daphna bassok,daphnabassok,
Loretta Kalb,LorettaSacBee,"Education writer
Avid student of science, nature, health, political topics.
 http://t.co/2NOhHyB9iZ
(916) 321-1073"
Andi Wallach,AndiWallach,"Helping educators empower students to take ownership of learning, understanding, and valuing mathematics."
Education Bridgeport,edubridgeport,"The heroes, the villains, the challenges and the successes in Bridgeport schools."
Vicki Myers,myersvic,I am an advocate for struggling readers currently serving in the Office of Elementary and Secondary Education at the U.S. Department of Education.
Getting Smart,Getting_Smart,"Getting Smart supports innovations in learning, education & technology. Our mission is to help more young people get smart & connect to the idea economy."
Anthony Ranii,anthonyranii,"Superintendent
Educator"
AspirePublicSchools,aspire,Aspire Public Schools is a not-for-profit organization that opens and operates high quality public charter schools to prepare urban students for college.
Lindsey,Linds3yt,move fast. break things.
Michelle Francois,melloyora,"Director of Education Equals, Creating Good, Disrupter, Social Entrepreneur, Leaving it Better Than We Found It"
College Achieve! ,CollegeACC,Our mission is to support students on a pathway to the top colleges and universities in the nation.
PassportEDU,PassportEDU,"The easiest way to accept international student applications. Manage leads, recruit, and enroll in the cloud with Passport EDU."
Iyuanna Pease,Iyuanna_Pease,Dean of Student Support & Academic Advancement at Golden Hills Community School in Fairfield. Fostering an environment for students and teachers to DREAM BIG!
SW NYC EDU,SWnycedu,"Startup Weekend NYC EDU takes all the magic of Startup Weekend, focuses it on education, and brings it to the Big Apple.  #nycedu · @swnycedu"
Pamela O'Leary,olearypd,There will never be a new world order until women are a part of it -Alice Paul. Unleashing the power of diverse leaders!
Christie Toland,divergenteducat,"divergent educator, concerned parent, proud American, and fellow flawed human being"
juleenewberger,juleenewberger,"DC fiction writer, aspiring yogini, and communications consultant. Namaste."
Stephanie Sepko,ssepko,
Michael Collier,mcolliersf,"Consulting Editor at EdSource, Owner of http://t.co/AkHsfS7f6r, Ultra-Cyclist, USA certified cycling coach. E-mail: maccollier@comcast.net"
